Tanggal,Hari,Materi,Target Soal,Target Benar,Realisasi Benar,Persen,Kumulatif Target,Kumulatif Realisasi,Catatan
25-Mar,Selasa,Aritmatika Dasar,20,14,0,0%,14,0,
26-Mar,Rabu,Aljabar,20,14,0,0%,28,0,
27-Mar,Kamis,Deret + Campuran,30,24,0,0%,52,0,
28-Mar,Jumat,Tryout Numerik,40,28,0,0%,80,0,
29-Mar,Sabtu,Verbal (Sinonim, Antonim, Analogi),30,20,0,0%,100,0,
30-Mar,Minggu,Verbal (Bacaan),20,14,0,0%,114,0,
31-Mar,Senin,Tryout Verbal,40,26,0,0%,140,0,
1-Apr,Selasa,Penalaran (Logika),20,14,0,0%,154,0,
2-Apr,Rabu,Penalaran (Analisis),20,14,0,0%,168,0,
3-Apr,Kamis,Tryout Penalaran,40,27,0,0%,195,0,
4-Apr,Jumat,Spasial,20,12,0,0%,207,0,
5-Apr,Sabtu,Full Simulasi,120,80,0,0%,287,0,
